Unnamed: 0,adverb,cluster,sentence,entropy,type
1731,ultimately,0,"Ultimately, this process includes assigning accountability for the murder and the mutilation of an innocent 25-year-old young lady.",4.386005780787627e-09,adverb.temporal
1732,unabashedly,0,"Lobbying had been considered kind of a sleazy business, but Roger Stone unabashedly came out and said,",0.0041557261720299,adverb.subject_oriented
1733,unanimously,0,"Unanimously, Miss Flour 1989 is",1.7549109543324448e-07,adverb.manner
1734,undoubtedly,0,"Undoubtedly, they were cheating you.",1.7454639955616356e-09,adverb.speaker_oriented
1735,unendingly,0,"Unendingly have you beseeched me, show myself.",0.0008188331266865,adverb.temporal
1736,unerringly,0,Unerringly hit the designated area!,5.584341806752491e-07,adverb.manner
1737,unexpectedly,0,"Unexpectedly, Bent Sejrø has resigned as minister of finance.",4.440136258665461e-09,adverb.speaker_oriented
1738,unfailingly,0,And everything looks in order from the outside ...unfailingly,3.624320470407838e-06,adverb.frequency
1739,uniformly,0,"That was their mandate,and suffice to say,we are, as of this moment,uh,uniformly thrilled with our pick.",1.5890215081526549e-06,adverb.degree
1740,uniformly,1,"That kind of motion is called ""uniformly accelerated motion"".",6.29843981414524e-08,adverb.manner
1741,uniquely,0,"Uniquely endowed with intelligence, rowdiness, sex appeal, energy,",9.531143874141891e-09,adverb.manner
1742,universally,0,"OK. in position number four, Universally Challenged.",1.4115778768086784e-08,adverb.degree
1743,unrelentingly,0,"My dear Emma, you are unrelentingly standing under an apple tree, wishing to smell the scent of orange blossoms.",0.0020103526767343,adverb.manner
1744,unsuspectingly,0,"Do you know the story of the American who gets married, quite unsuspectingly, thinking his wife's white, but it turns out she's black.",0.0016022628406062,adverb.manner
1745,unthinkingly,0,"Irrationality is woven into the fabric of modern life, we unthinkingly indulge unscientific delusion",0.0138928461819887,adverb.manner
1746,upwardly,0,"Upwardly mobile lieutenant, always hungry for the next promotion.",1.762539909577754e-07,adverb.spatial
1747,uselessly,0,I have made him worry uselessly.,1.265330195426941,adverb.manner
1748,usually,0,"Usually, I don't like doing interviews but I find you very interesting.",5.307887462890903e-09,adverb.frequency
1749,utterly,0,It was purebred. Utterly controlled.,1.0183754284298631e-08,adverb.degree
1750,vacantly,0,"I'm just staring vacantly into space. While a distant voice in the back of my head goes,",0.1805945932865142,adverb.manner
1751,vaguely,0,"First,boris alters hisvaguely medical research plans when he gets his blood results.",1.1754028150789965e-07,adverb.degree
1752,vainly,0,"Vainly attempted to sway, as he once did the destinies of a nation that had ceased to listen to him ceased to trust him.",1.7354267356495257e-06,adverb.manner
1753,vainly,2,Forty days now we have waited vainly,0.2252852618694305,adverb.manner
1754,valiantly,0,"Valiantly, French and British soldiers tried to slow the German advance.",8.566734521764374e-08,adverb.subject_oriented
1755,valiantly,1,"Alongside the wind, alongside the wind, our voice already rises which valiantly proclaims: Boy am I seasick!",0.6823198795318604,adverb.manner
1756,valorously,0,"We'll continue to fight as valorously as before, and leave it to the State Duma...",0.5477526783943176,adverb.manner
1757,variously,0,"Is this the same William Brocius who is wanted variously on eight counts of murder in Kansas City, Missouri, Abilene, Texas, Gallup, New Mexico between the years 1878 and 1881?",1.9241631031036377,adverb.spatial
1758,variously,2,Then why do I have three different statements... from three of your deckhands... stating variously that they all saw you and you were anywhere but in your rack?,2.565715312957764,adverb.manner
1759,vastly,0,"- What do you mean ""vastly wealthy""?",1.1102721231281977e-07,adverb.degree
1760,vastly,1,"Vastly different field of operation, but, yes, they're all the same breed.",3.9331030876610384e-08,adverb.degree
1761,vastly,2,"Vastly, and the city, my home, is suffering because of it.",2.3080261257746318e-07,adverb.degree
1762,vehemently,0,"In a peppery mood, Lina Przybilla from Czernowitz, sole legitimate daughter of Stanislaus Przybilla, after the premature births of two half-developed babies, both of whom were to have been called Lina, Miss Przybilla flung down the journals vehemently.",4.8550159448268466e-08,adverb.manner
1763,verbally,0,"- NO, BUT HE DID VERBALLY ASSAULT HER.",4.095536709769476e-08,adverb.manner
1764,verily,0,"Verily, is it a spring night?",7.725782680267912e-09,adverb.speaker_oriented
1765,vertically,0,I'm just sorry me being vertically challenged makes you uncomfortable.,1.7355901002883911,adverb.manner
1766,vertically,1,"Vertically, you know, a jump.",5.768302457909158e-07,adverb.manner
1767,vertically,3,You just accused the world's largest vertically integrated conglomerate of selling poison.,1.3874709606170654,adverb.manner
1768,vertically,4,"Au contraire, my vertically challenged friend.",0.7378805875778198,adverb.domain
1769,vicariously,0,"Vicariously coaching other people, watching them get rich, like this nutcase here, and I couldn't stand it anymore.",3.7066612001979134e-09,adverb.manner
1770,viciously,0,"Viciously attacked my son breaking his legs, arms, and the poor boy's skull.",2.9603830853375257e-07,adverb.manner
1771,viciously,1,"Long ago, I was viciously attacked by the coward Lyze of Kiel for defending that truth.",0.2155744582414627,adverb.manner
1772,viciously,2,We're talking about viciously competitive people.,0.5144274234771729,adverb.degree
1773,victoriously,0,"And France, with its great army... of land warfare. France ended the last war victoriously in the trenches... so the natural tendency... was to build bigger and better trenches... culminating in that super-colossaI trench... the trench deluxe, the Maginot Line.",0.0039539956487715,adverb.manner
1774,vigorously,0,"Vigorously pumping their tails, they work up some speed and then, they hydroplane.",7.009442271055377e-08,adverb.manner
1775,vigorously,1,The plants will grow less vigorously and the pace of summer will slow.,0.1162026226520538,adverb.manner
1776,vigorously,2,"Follow her lead, anticipate her desires then fulfill them. Vigorously.",1.5086945381881378e-07,adverb.manner
1777,vilely,0,"if low, an agate very vilely cut;",0.6753386855125427,adverb.manner
1778,violently,0,NOISE OF A DOOR CLOSING VIOLENTLY,6.04760498390533e-05,adverb.manner
1779,violently,1,"And rape her, after 10 years of marriage? Violently rape her? I don't know.",7.959053860417953e-09,adverb.manner
1780,violently,2,The calm orderliness of the scene contrasts violently with the ghastly pictures which shocked the country when they were shown in British newsreels.,1.3833001852035522,adverb.degree
1781,violently,3,"""A bad plan violently executed today... is better than a great plan tomorrow.""",1.5964096784591677,adverb.manner
1782,violently,4,Our climate is changing violently.,0.7204455137252808,adverb.manner
1783,violently,5,VIOLENTLY OUTRAGED. - THERE WAS A HUGE MOB OF PEOPLE GATHERED OUTSIDE THE HOUSE. HANSON HAD A GROUP OF HIS FRIENDS INSIDE,3.860897379581729e-08,adverb.degree
1784,violently,8,"I thought it was one of Mac's Project Badasstapes, so I pop it in the VCR to watch it, I see what it is, I become violently ill, okay?",1.0796104669570925,adverb.degree
1785,violently,9,# Violently back upstream #,1.0676924375729868e-06,adverb.manner
1786,violently,10,Renfield reacted very violently to its scent.,2.0163416862487797,adverb.manner
1787,violently,12,"And during the same time, we turned an honest, hard-working man into a violently deranged would-be killer.",0.7278232574462891,adverb.degree
1788,virtually,0,"It was thrilling, Virtually writes itself.",6.210435543607673e-08,adverb.degree
1789,virtually,1,"Virtually impregnable, heat resistant, most often deployed in tanks and APCs.",1.5509943551705874e-08,adverb.degree
1790,virtuously,0,I was as virtuously given as a gentleman need to be.,0.0819644480943679,adverb.manner
1791,viscerally,0,"So in essence, we're training the brain not to react so viscerally.",0.0003546439693309,adverb.manner
1792,visibly,0,"Visibly moved, raises the visor and wipes her tears.",4.634360664113047e-07,adverb.degree
1793,visually,0,"Visually, Creative Director, initialed D.C.",1.308323449578097e-09,adverb.domain
1794,visually,1,Visually impaired people know more than you think.,0.0001544672413729,adverb.domain
1795,vitally,0,"So where's the ""vitally interested""?",6.33987583569251e-05,adverb.degree
1796,vocally,0,"Vocally, you're not going to be able to compete with so many of these kids who, to be quite honest and blunt, are better singers than you.",1.5290130761513865e-07,adverb.domain
1797,vocally,1,But your father pretty vocally disagree with you.,1.4197239875793457,adverb.manner
1798,vociferously,0,He's been known to argue vociferously about how men have a higher pain tolerance than women.,0.0037122769281268,adverb.manner
1799,volcanically,0,"There are no plans at present to explore further any of the hundreds... of volcanically active mountains in the Cascade range, including Mount Avalon.",0.0746895670890808,adverb.manner
1800,voluntarily,0,"And they've... They've also gave us an acronym for love, which is, Letting Others Voluntarily Evolve.",6.3027449925812115e-09,adverb.manner
1801,vulgarly,1,- Vulgarly called the Gestapo.,4.824781717616133e-05,adverb.manner
1802,warily,0,"""Warily, the princess looked at Andres.",1.8351812514083576e-07,adverb.manner
1803,warmly,0,Warmly wrapping me and trying to understand me. - Let's have dinner soon. - When will that be?,4.5823782102161204e-07,adverb.manner
1804,warmly,1,Warmly welcome Richard Gunn Lucas Oil!,5.786461770185269e-06,adverb.manner
1805,warmly,2,"José, did you dress Warmly for the trip? - Sí.",1.2192607812266942e-08,adverb.manner
1806,warmly,3,All full of stars that burn warmly.,0.6581648588180542,adverb.manner
1807,weakly,0,"[ Weakly ] Jasmine. Jasmine, run!",3.968703976564569e-10,adverb.manner
1808,weakly,1,"- Does one still feel weakly, is not it?",0.0512459315359592,adverb.manner
1809,wealthily,0,I've come to wive it wealthily in Padua,4.181593894958496,adverb.manner
1810,wearily,0,"I kept thinking about him walking away wearily, so I couldn't sleep that night",2.781574010848999,adverb.manner
1811,weekly,0,"I mean, Architecture Vision Weekly may have dubbed it ""more than just a building,"" but it's just a building. So let's not get carried...",9.608045470343995e-10,adverb.frequency
1812,weekly,1,Do you have any US Weeklys around here?,6.11927703175752e-07,adverb.frequency
1813,weekly,2,"Bills, jury duty, Entertainment Weekly.",8.766724013398174e-10,adverb.frequency
1814,weirdly,0,"Weirdly deep-voiced, alcoholic, gay Lee Cooper who you invited out for a glass of wine!",5.7330398206545405e-09,adverb.speaker_oriented
1815,weirdly,4,"The clouds are moving weirdly, and the fuel is running out, she agreed too.",3.1869139671325684,adverb.manner
1816,westerly,0,"promise Westerlyns that if they behave themselves, keep Company jobs for 7 generations, they can join the middle class on Leith.",6.585943879144908e-08,adverb.spatial
1817,westerly,1,"Westerly wind, about 14 m/s!",2.183156322388413e-09,adverb.spatial
1818,westerly,5,"What's up? Unit five, report to Checkpoint Southwest Westerly.",6.625472224186524e-07,adverb.spatial
1819,whimsically,0,"Anyway, if Kripke asks tell him my coitus with Amy is frequent, intense and whimsically inventive.",0.0012519935844466,adverb.manner
1820,wholeheartedly,0,"Wholeheartedly, when I asked you, to marry me.",1.6838581018419066e-07,adverb.manner
1821,wholly,0,"I SUBSCRIBE TO YOUR VIEWS WHOLLY, MR. BEDEKER.",7.856841932607496e-08,adverb.degree
1822,wickedly,0,"Wickedly overcrowded tonight, but, of course, as it's you...",5.263200364424847e-06,adverb.degree
1823,wickedly,1,You're taking a wickedly unfair advantage of me.,0.0043312925845384,adverb.degree
1824,wickedly,3,"""Wickedly grinning old men, ready to haggle for hour after hour.""",1.6595626206594716e-08,adverb.manner
1825,widely,0,Today leatherbacks are the biggest of all reptiles and the most widely distributed for they are found all the way from these warm tropical waters to the freezing seas of the Arctic.,0.258503794670105,adverb.degree
1826,widely,1,Widely fluctuating market values began at the New York Stock Exchange.,4.202956006338354e-06,adverb.degree
1827,widely,4,"Widely assumed to have met his maker in a skiing accident, no one was more surprised to see his son-- looking stunning in a fabulous organza and leather gown-- than papa Bradford.",4.0848316729125145e-08,adverb.degree
1828,wildly,0,"I threw myself at her feet, about my possessions I wildly talked gibberish.",2.455613136291504,adverb.manner
1829,wildly,1,"- Wildly, my mind beats against you",3.164535655741929e-08,adverb.manner
1830,wildly,2,"SPINNING WILDLY OUT OF CONTROL, UNTIL I BUMPED INTO MY NEIGHBOR MR. SULTANA.",7.300900506379548e-08,adverb.manner
1831,wildly,4,Tony: Dad's moods could swing wildly. And those moods dominated our lives.,0.2537777721881866,adverb.manner
1832,wildly,6,"I did shoot one last week, in honor of Black History Month, but I was informed by my roommate that my spot-on portrayal of George Washington Carver could be considered ""wildly racist.""",1.7856809364502624e-08,adverb.degree
1833,wildly,7,"It wasn't the descriptions of the wildly uninhibited Chinese-style sex positions like the ""wailing monkey clasping a tree"" or ""wild geese flying on their backs "" that I found most enlightening.",2.8770673274993896,adverb.degree
1834,wildly,12,"Good my lord, put your discourse into some frame and start not so wildly from my affair.",3.694481372833252,adverb.manner
1835,willingly,0,You will lead millions... Willingly or as slaves.,3.338020633236738e-07,adverb.manner
1836,willy-nilly,0,But I guess I'll just leave them lying Willy-nilly on the dryer.,2.83674307866022e-05,adverb.manner
1837,willy-nilly,1,"Willy-nilly, we're all brothers here! Brothers in suffering!",8.128751005642698e-09,adverb.speaker_oriented
1838,wisely,0,"This is Ryan Wisely at WDLH, The Voice of Haven.",1.084167706721928e-07,adverb.manner
1839,wittingly,0,"If I drown myself wittingly, it argues an act. And an act hath three branches:",3.5197179317474365,adverb.manner
1840,wondrously,0,"O God, who has wondrously created the boundless expanse of blue sea, please protect these comrades as they journey on the sea. O Lord, who formed even the surging waves and raging winds according to Your great will, please protect these comrades as they journey on the sea.",0.0132724521681666,adverb.manner
1841,worryingly,0,"Worryingly, here in Siberia, there are signs the permafrost is already starting to melt.",2.889985495357905e-08,adverb.speaker_oriented
1842,worthily,0,TO WORTHILY CONFESS YOUR SINS.,0.0034525960218161,adverb.manner
1843,wretchedly,0,"The sky... was chartreuse. "" ""Wretchedly beautiful and poisonous.",5.355925836170172e-08,adverb.degree
1844,wrongly,0,"Welcome to The Wrongly-Wed Game, where couples put their lack of compatibility to the test.",9.82865699938884e-09,adverb.manner
1845,wrongly,2,- Forster is innocent. - Wrongly convicted. - No!,1.7118250150716106e-09,adverb.manner
1846,zealously,0,"People think by adding ""zealously"" to everything, it makes it all right.",5.452689038065728e-07,adverb.manner
